overall,vote,reviewTime,reviewText,summary
4,0,20-11-2006,Compare to the Price of the product I highly recommend to any one who own Canon EOS camera....,Awesome product
3,3,29-11-2013,"The kit fit really well on my nissian altima 2010 2.5s. Only complaint is, the a/c unit is kinda lodgy and took the kit and stereo pioneer avh4000bt to get it professional install. The a/c was a little scrunched.",Its good
4,0,01-09-2013,"Good sound, easy setup, nice design, not much bass",1377993600
5,5,09-01-2013,"My first L-series lens, and now I understand what all the hype was about. After only a few test shots, I'm both wowed, and sold on this line!

Pros
+ Amazing sharpness
+ 2.8 is great asset in low light situations, and subject motion
+ Lovely leather pouch
+ Includes a lens hood
+ Great price
+ Focus distance limiter

Cons
- Lens weight doesn't feel balanced, most of it is towards the front
- Focus ring is near the front, would be better at the rear given the weight distribution
- Built to accept a tripod collar, why not include it in the box
- Lens hood and lens cap design are very dated, not very ergonomic

Its easy to overlook the cons of this lens given its performance and price.",L-ovely
1,0,12-08-2015,"Poor design, crappy sound.",Naah!
1,7,24-06-2008,"two 4GB SDHC cards, two intermittent read/write failures - stay away",1214265600
4,0,11-12-2015,Good protection,Four Stars
4,0,13-08-2015,Potentially Useful For Studio Photography,1439424000
3,7,24-10-2013,good product (nearly perfect) at a very reasonable price,1382572800
4,0,21-12-2015,Cost effective female/female,1450656000
2,0,02-07-2013,"While the bag has great padding for protecting the tablet, I didn't like that this meant that the bag didn't have much room to carry other stuff. Of course pens fit and some other small items but the foam cushioning means its kinda thick not leaving as much space as you would think looking at it from the outside. i also wish it had a few more pockets (like on the outside flap). I purchased the grey one and thought it the color looked lackluster. I wanted this bag to take on a big trip but ended up getting a different roomier purse.",Not roomy for carrying much more than the tablet
4,0,01-06-2013,Great product and PRICE. It has been months and the cord has not cracks which speaks to its quality. I keep it plug in all the time and works fine.,Works
3,0,17-02-2014,Not nearly as useful as I thought,1392595200
3,0,27-11-2012,"Where ever you install these do not point them right at you. Too much ""SSSSSSS"" sounds for my liking. I have 3000w subwoofer in a Jeep Wrangler so, I considered these for more highs. Didn't really need them but, thought I wouldn't hurt. I took them out after 5 days. Too bright and didn't blend in enough. The sound stood out too much to be on my dash. Maybe an SUV where the speakers are in the doors blasting you in the legs, you might want these but, otherwise just upgrade you component speakers and see if that helps. After I upgraded from pre-existing stock speakers I have PLENTY of highs and don't need these. At least they were cheap to experiment with.",Very bright sound
5,0,28-08-2016,Mine has see lots of Seats..  now time for new cushion after 5 yrs,Five Stars
1,0,15-06-2015,Venia Roto,One Star
4,0,03-12-2013,A great lens for the money.,1386028800
5,0,23-01-2015,Five Stars,1421971200
1,0,21-12-2017,Fast and great when it works...,1513814400
5,0,04-11-2015,XLNT!,XLNT!
2,3,19-02-2015,"Not sure if it's a bad camera or design, but the IR is NOT bright.  The paperwork says 50 to 75ft.  After it really didn't appear to be working last night I took it down and tested it in my shop.  It seems the IR is good for about 10 to 15ft.  My other cameras, SWANN, you can actually see a red glow at night looking at the camera, but this camera has no indication at night looking AT the camera that the IR are on or not.

Pretty sure I'm going to return it as defective, but still deciding on a replacement or refund...",Infrared failure?
