Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration
02832,-808 June 13,14:00:41,21974,-34725,53,A,0.4711,0.9825,50.0N,49.9E,62,161,70,01m34s
02833,-808 December 8,15:43:51,21966,-34719,58,P,-1.0193,0.9441,63.8S,111.5W,0,149,,
02834,-807 May 4,16:10:16,21959,-34714,25,P,-1.3456,0.356,61.6S,91.5E,0,299,,
02835,-807 June 2,23:58:25,21958,-34713,63,P,1.2038,0.6248,63.2N,130.2E,0,37,,
02836,-807 October 29,01:56:39,21951,-34708,30,P,1.2678,0.5046,61.1N,51.0W,0,247,,
02837,-806 April 24,09:10:23,21943,-34702,35,T,-0.6002,1.0752,23.1S,150.7E,53,331,300,05m56s
02838,-806 October 18,01:11:04,21935,-34696,40,A,0.5837,0.9286,24.7N,90.8W,54,211,322,07m47s
02839,-805 April 14,01:17:25,21927,-34690,45,T,0.1409,1.0445,13.0N,111.7W,82,151,150,03m50s
02840,-805 October 7,05:36:11,21919,-34684,50,A,-0.1398,0.9808,9.2S,178.5W,82,30,69,01m53s
02841,-804 April 2,12:04:22,21911,-34678,55,A,0.9403,0.9759,56.4N,35.5E,19,118,250,01m44s
02842,-804 September 25,17:20:29,21902,-34672,60,T,-0.8278,1.0284,44.7S,24.7W,34,43,167,02m03s
02843,-803 February 20,22:58:47,21896,-34667,27,P,-1.1957,0.6259,61.4S,47.4E,0,241,,
02844,-803 August 17,00:20:48,21888,-34661,32,P,1.1127,0.7997,62.0N,30.8E,0,308,,
02845,-803 September 15,09:13:10,21886,-34660,70,P,-1.4824,0.0966,61.0S,54.2E,0,77,,
02846,-802 February 10,00:02:01,21879,-34655,37,A,-0.4578,0.9539,41.9S,71.0W,63,331,188,04m23s
02847,-802 August 6,13:59:03,21871,-34649,42,H,0.414,1.0094,42.3N,72.9E,65,205,36,00m48s
02848,-801 January 30,07:35:26,21863,-34643,47,H,0.2827,1.0061,4.3S,156.3E,74,162,22,00m38s
02849,-801 July 26,20:59:11,21855,-34637,52,A,-0.3499,0.9606,1.9N,48.8W,70,15,152,04m57s
02850,-800 January 19,21:23:02,21847,-34631,57,T,0.9588,1.0346,49.4N,68.2W,16,159,417,02m37s
02851,-800 July 14,22:02:17,21839,-34625,62,P,-1.1109,0.7713,64.4S,86.7W,0,25,,
02852,-800 December 10,02:16:34,21832,-34620,29,P,-1.0761,0.8565,67.4S,62.5E,0,174,,
02853,-799 June 4,11:39:33,21824,-34614,34,A,0.9286,0.9897,85.1N,5.0E,21,89,100,00m38s
02854,-799 November 29,12:34:02,21816,-34608,39,A,-0.4214,0.9638,45.4S,76.5E,65,9,144,03m29s
02855,-798 May 24,23:34:25,21808,-34602,44,Tm,0.1215,1.0554,26.1N,86.2W,83,171,184,05m04s
02856,-798 November 18,15:30:01,21800,-34596,49,A,0.2717,0.9225,2.2S,38.6E,74,190,304,10m53s
02857,-797 May 14,16:11:28,21792,-34590,54,T,-0.6224,1.0778,21.6S,34.0E,51,348,320,06m47s
02858,-797 November 7,14:27:26,21784,-34584,59,A,0.9458,0.9124,54.8N,73.7E,18,203,1041,08m34s
02859,-796 April 4,00:27:08,21777,-34579,26,P,1.2078,0.6151,71.7N,168.3E,0,83,,
02860,-796 May 3,08:58:49,21776,-34578,64,P,-1.3762,0.2978,70.5S,175.9W,0,312,,
02861,-796 September 27,03:05:45,21769,-34573,31,P,-1.266,0.5073,71.7S,138.0E,0,85,,
02862,-795 March 24,09:07:14,21761,-34567,36,A,0.491,0.9679,26.1N,126.5E,60,160,132,03m31s
02863,-795 September 16,16:31:48,21753,-34561,41,T,-0.5238,1.0465,24.4S,12.2E,58,19,181,04m03s
02864,-794 March 13,10:52:47,21745,-34555,46,A,-0.2548,0.9381,20.4S,115.4E,75,342,237,07m40s
02865,-794 September 6,08:47:51,21737,-34549,51,T,0.1718,1.0561,19.5N,141.6E,80,197,188,04m57s
02866,-793 March 2,11:24:22,21728,-34543,56,A,-0.9765,0.9399,74.5S,172.2W,12,273,1102,04m06s
02867,-793 August 26,23:12:24,21720,-34537,61,T,0.911,1.0076,73.2N,26.9W,24,235,65,00m29s
02868,-792 January 21,05:53:25,21714,-34532,28,P,1.0995,0.8133,67.8N,174.4E,0,169,,
02869,-792 July 16,17:06:39,21706,-34526,33,P,-1.1258,0.7483,67.0S,11.7E,0,2,,
02870,-791 January 9,20:41:34,21698,-34520,38,T,0.3888,1.0495,0.3S,37.1W,67,180,178,04m49s
02871,-791 July 5,17:35:32,21689,-34514,43,A,-0.383,0.9474,1.3N,7.3E,67,356,209,07m23s
02872,-791 December 30,12:21:12,21681,-34508,48,T,-0.2892,1.0328,40.7S,84.7E,73,6,116,02m46s
02873,-790 June 24,20:47:17,21673,-34502,53,A,0.3903,0.9852,46.5N,47.8W,67,169,57,01m24s
02874,-790 December 20,00:12:19,21665,-34496,58,P,-1.0187,0.9441,64.8S,110.4E,0,159,,
02875,-789 May 15,23:31:19,21658,-34491,25,P,-1.4139,0.2244,62.2S,29.1W,0,308,,
02876,-789 June 14,07:10:12,21657,-34490,63,P,1.1259,0.7713,64.1N,11.4E,0,28,,
02877,-789 November 9,09:54:51,21650,-34485,30,P,1.276,0.491,61.6N,179.4E,0,238,,
02878,-788 May 4,16:38:36,21642,-34479,35,T,-0.6724,1.0747,24.9S,37.6E,48,333,322,05m59s
02879,-788 October 28,09:11:01,21634,-34473,40,A,0.5931,0.9286,21.7N,146.5E,53,209,325,08m04s
02880,-787 April 24,08:36:58,21626,-34467,45,Tm,0.0704,1.0432,13.5N,138.3E,86,153,145,03m47s
02881,-787 October 17,13:53:58,21618,-34461,50,A,-0.1274,0.9817,13.1S,55.6E,83,29,65,01m47s
02882,-786 April 13,19:02:34,21610,-34455,55,A,0.8723,0.9772,54.5N,61.4W,29,125,163,01m43s
02883,-786 October 7,01:50:51,21602,-34449,60,T,-0.8099,1.0284,47.1S,155.1W,36,46,161,01m59s
02884,-785 March 4,06:03:10,21595,-34444,27,P,-1.2457,0.542,61.0S,68.8W,0,250,,
02885,-785 August 28,08:20:47,21587,-34438,32,P,1.1557,0.7171,61.5N,99.4W,0,298,,
02886,-785 September 26,17:39:36,21586,-34437,70,P,-1.4605,0.1394,60.8S,82.4W,0,86,,
02887,-784 February 21,07:32:00,21579,-34432,37,A,-0.4961,0.9594,40.1S,177.6E,60,327,168,03m47s
02888,-784 August 16,21:31:24,21571,-34426,42,H,0.4666,1.0024,41.8N,38.1W,62,210,9,00m12s
02889,-783 February 9,15:39:19,21563,-34420,47,H,0.2535,1.0125,3.4S,34.1E,75,158,44,01m14s
02890,-783 August 6,03:56:12,21555,-34414,52,A,-0.287,0.9557,3.7N,154.1W,73,19,168,05m26s
02891,-782 January 30,05:50:56,21547,-34408,57,T,0.9378,1.04,46.2N,160.3E,20,154,386,03m01s
02892,-782 July 26,04:40:03,21539,-34402,62,P,-1.0388,0.8933,63.5S,162.9E,0,34,,
02893,-782 December 21,10:59:39,21532,-34397,29,P,-1.081,0.8473,66.3S,80.4W,0,185,,
02894,-781 June 15,18:31:09,21524,-34391,34,P,1.0037,0.9815,67.1N,173.0E,0,3,,
02895,-781 December 10,20:59:29,21516,-34385,39,A,-0.423,0.9615,47.7S,47.5W,65,3,154,03m41s
02896,-780 June 4,06:49:16,21508,-34379,44,T,0.1975,1.058,32.8N,163.9E,78,174,195,05m06s
02897,-780 November 28,23:34:55,21500,-34373,49,A,0.2693,0.9212,5.0S,84.3W,74,186,310,11m17s
02898,-779 May 24,23:36:32,21492,-34367,54,T,-0.5483,1.0792,13.9S,81.8W,57,351,305,07m12s
02899,-779 November 17,22:30:21,21484,-34361,59,A,0.9403,0.9132,51.6N,54.6W,19,196,984,08m53s
02900,-778 April 15,07:46:06,21477,-34356,26,P,1.2767,0.4878,71.5N,43.4E,0,69,,
02901,-778 May 14,16:17:05,21476,-34355,64,P,-1.3088,0.4264,69.7S,60.5E,0,324,,
02902,-778 October 8,11:23:56,21469,-34350,31,P,-1.2773,0.487,71.6S,2.0W,0,99,,
02903,-777 April 4,16:05:25,21461,-34344,36,A,0.5584,0.9669,34.6N,17.3E,56,158,143,03m25s
02904,-777 September 28,00:57:17,21453,-34338,41,T,-0.5447,1.0449,29.9S,117.4W,57,21,177,03m46s
02905,-776 March 23,17:40:54,21445,-34332,46,A,-0.1907,0.9407,12.6S,10.0E,79,342,223,07m32s
02906,-776 September 16,17:06:09,21437,-34326,51,T,0.1441,1.0517,13.7N,14.8E,82,198,173,04m39s
02907,-775 March 12,18:30:48,21429,-34320,56,A,-0.9204,0.9479,66.8S,38.9E,23,312,493,04m01s
02908,-775 September 6,07:07:03,21421,-34314,61,H,0.8785,1.0025,66.2N,160.1W,28,223,18,00m10s
02909,-774 January 31,14:09:54,21415,-34309,28,P,1.118,0.7809,68.8N,37.3E,0,158,,
02910,-774 July 27,23:52:12,21407,-34303,33,P,-1.1957,0.6275,68.1S,102.0W,0,13,,
02911,-773 January 21,05:16:36,21398,-34297,38,T,0.4043,1.0525,2.1N,167.9W,66,176,190,05m04s
02912,-773 July 17,00:10:02,21390,-34291,43,A,-0.4595,0.9459,4.4S,93.7W,63,1,224,07m37s
02913,-772 January 10,20:59:12,21382,-34285,48,T,-0.2803,1.0329,39.6S,42.9W,74,0,116,02m49s
02914,-772 July 5,03:37:59,21374,-34279,53,A,0.3119,0.9872,42.1N,147.9W,72,175,47,01m15s
02915,-772 December 30,08:37:21,21366,-34273,58,P,-1.0163,0.9477,65.8S,27.2W,0,169,,
02916,-771 May 26,06:50:24,21360,-34268,25,Pe,-1.4838,0.089,62.8S,149.4W,0,317,,
02917,-771 June 24,14:24:39,21358,-34267,63,P,1.0495,0.9156,65.0N,108.3W,0,19,,
02918,-771 November 19,17:56:10,21352,-34262,30,P,1.2813,0.4822,62.3N,48.9E,0,228,,
02919,-770 May 16,00:03:57,21344,-34256,35,T,-0.7469,1.0732,28.1S,75.0W,41,335,352,05m54s
02920,-770 November 8,17:17:02,21336,-34250,40,A,0.5976,0.9292,18.9N,22.1E,53,205,324,08m19s
02921,-769 May 5,15:52:09,21328,-34244,45,T,-0.0033,1.0413,13.5N,29.4E,90,316,138,03m44s
02922,-769 October 28,22:18:09,21320,-34238,50,A,-0.1195,0.9829,17.0S,71.8W,83,27,61,01m40s
02923,-768 April 24,01:54:31,21312,-34232,55,A,0.8001,0.9776,53.7N,158.8W,37,130,131,01m44s
02924,-768 October 17,10:27:39,21304,-34226,60,T,-0.7967,1.0284,50.2S,73.0E,37,47,157,01m56s
02925,-767 March 14,12:58:32,21297,-34221,27,P,-1.3028,0.4454,60.8S,177.5E,0,258,,
02926,-767 September 7,16:28:36,21289,-34215,32,P,1.1919,0.6479,61.0N,128.6E,0,289,,
02927,-767 October 7,02:13:14,21288,-34214,70,P,-1.4446,0.1707,60.8S,139.3E,0,95,,
02928,-766 March 3,14:54:43,21281,-34209,37,A,-0.5412,0.9648,38.3S,67.6E,57,325,149,03m14s
02929,-766 August 28,05:11:00,21273,-34203,42,A,0.5121,0.9955,40.3N,151.7W,59,213,18,00m23s
02930,-765 February 20,23:36:23,21265,-34197,47,T,0.2177,1.019,2.2S,86.3W,77,155,66,01m49s
02931,-765 August 17,11:00:55,21257,-34191,52,A,-0.231,0.9507,4.2N,98.8E,77,22,185,05m53s
02932,-764 February 10,14:10:56,21249,-34185,57,T,0.91,1.0456,43.5N,31.8E,24,150,362,03m25s
02933,-764 August 5,11:25:44,21241,-34179,62,A,-0.9723,0.9282,52.4S,65.5E,13,31,1174,06m53s
02934,-764 December 31,19:37:35,21234,-34174,29,P,-1.0898,0.8308,65.3S,138.5E,0,196,,
02935,-763 June 26,01:27:44,21227,-34168,34,P,1.0758,0.8521,66.1N,57.0E,0,352,,
02936,-763 December 21,05:19:37,21219,-34162,39,A,-0.4284,0.9598,49.1S,169.5W,64,357,162,03m49s
02937,-762 June 15,14:07:32,21211,-34156,44,T,0.2715,1.0596,38.9N,54.3E,74,179,204,05m00s
02938,-762 December 10,07:38:16,21203,-34150,49,A,0.2654,0.9206,7.1S,153.5E,75,182,312,11m29s
02939,-761 June 5,07:01:07,21195,-34144,54,T,-0.4737,1.0797,6.8S,163.3E,62,355,292,07m25s
02940,-761 November 29,06:36:00,21187,-34138,59,A,0.9364,0.9145,49.0N,177.1E,20,190,940,09m04s
02941,-760 April 25,14:57:16,21180,-34133,26,P,1.3511,0.3506,71.0N,79.2W,0,56,,
02942,-760 May 24,23:31:16,21179,-34132,64,P,-1.2383,0.5604,68.9S,61.5W,0,336,,
02943,-760 October 18,19:50:33,21172,-34127,31,P,-1.2825,0.4777,71.3S,143.9W,0,113,,
02944,-759 April 14,22:53:03,21164,-34121,36,A,0.6336,0.9654,43.8N,89.9W,50,156,160,03m20s
02945,-759 October 8,09:31:44,21156,-34115,41,T,-0.5584,1.0434,35.2S,111.1E,56,22,174,03m31s
02946,-758 April 4,00:20:54,21148,-34109,46,A,-0.12,0.9432,4.4S,93.7W,83,342,211,07m20s
02947,-758 September 28,01:31:39,21140,-34103,51,T,0.1228,1.0474,8.1N,113.9W,83,198,159,04m20s
02948,-757 March 24,01:32:01,21132,-34097,56,A,-0.8589,0.955,57.0S,83.4W,30,326,319,03m50s
02949,-757 September 17,15:08:17,21124,-34091,61,A,0.8522,0.997,59.6N,70.9E,31,216,20,00m13s
02950,-756 February 11,22:20:51,21118,-34086,28,P,1.1418,0.7382,69.7N,98.9W,0,145,,
02951,-756 March 12,08:51:34,21116,-34085,66,Pb,-1.5417,0.0047,71.4S,112.2W,0,250,,
02952,-756 August 7,06:42:52,21110,-34080,33,P,-1.2607,0.5162,69.1S,142.4E,0,24,,
02953,-755 January 31,13:45:31,21102,-34074,38,T,0.425,1.0556,5.5N,62.5E,65,172,202,05m17s
02954,-755 July 27,06:52:13,21094,-34068,43,A,-0.5298,0.9441,10.5S,162.6E,58,5,243,07m42s
02955,-754 January 21,05:29:27,21086,-34062,48,T,-0.2655,1.0333,37.2S,169.2W,74,355,116,02m54s
02956,-754 July 16,10:37:53,21078,-34056,53,A,0.2401,0.9888,37.1N,108.4E,76,181,41,01m09s
02957,-753 January 10,16:55:10,21070,-34050,58,P,-1.0091,0.96,66.9S,163.5W,0,180,,
02958,-753 July 5,21:44:52,21062,-34044,63,T,0.9769,1.0328,77.3N,138.0E,12,16,557,01m40s
02959,-753 December 1,01:57:14,21055,-34039,30,P,1.2865,0.4736,63.1N,81.8W,0,218,,
02960,-752 May 26,07:27:48,21047,-34033,35,T,-0.8222,1.0705,33.0S,172.5E,34,338,398,05m40s
02961,-752 November 19,01:26:10,21039,-34027,40,A,0.6005,0.9305,16.6N,103.1W,53,201,320,08m28s
02962,-751 May 15,23:01:44,21031,-34021,45,T,-0.0809,1.0386,12.6N,78.0W,85,337,130,03m37s
02963,-751 November 8,06:48:08,21023,-34015,50,A,-0.1155,0.9848,20.8S,159.7E,83,25,54,01m29s
02964,-750 May 5,08:39:48,21015,-34009,55,A,0.7229,0.9772,53.2N,105.1E,43,136,116,01m49s
02965,-750 October 28,19:10:19,21008,-34003,60,T,-0.7881,1.0288,54.0S,60.2W,38,49,156,01m55s
02966,-749 March 25,19:45:38,21001,-33998,27,P,-1.3664,0.3371,60.6S,65.8E,0,267,,
02967,-749 April 24,11:17:29,21000,-33997,65,Pb,1.514,0.0838,61.1N,10.7W,0,69,,
02968,-749 September 19,00:44:21,20993,-33992,32,P,1.2213,0.5921,60.8N,5.3W,0,280,,
02969,-749 October 18,10:53:50,20992,-33991,70,P,-1.4347,0.1904,61.0S,0.8W,0,104,,
02970,-748 March 13,22:09:18,20985,-33986,37,A,-0.5938,0.9702,37.0S,40.7W,53,323,131,02m42s
02971,-748 September 7,12:57:40,20977,-33980,42,A,0.5509,0.9886,38.1N,92.0E,56,215,48,00m58s
02972,-747 March 3,07:25:55,20969,-33974,47,T,0.1749,1.0256,0.8S,155.3E,80,153,88,02m21s
02973,-747 August 27,18:13:34,20961,-33968,52,A,-0.1818,0.9457,3.6N,10.1W,80,25,203,06m20s
02974,-746 February 20,22:23:27,20953,-33962,57,T,0.8758,1.0511,41.4N,93.9W,29,146,344,03m47s
02975,-746 August 16,18:21:08,20945,-33956,62,A,-0.9131,0.9285,43.9S,36.9W,24,31,644,07m18s
02976,-745 January 12,04:10:49,20939,-33951,29,P,-1.1024,0.8077,64.3S,1.0W,0,206,,
02977,-745 July 7,08:29:47,20931,-33945,34,P,1.1442,0.7287,65.1N,60.0W,0,343,,
02978,-744 January 1,13:36:07,20923,-33939,39,A,-0.4362,0.9586,49.6S,69.8E,64,350,167,03m54s
02979,-744 June 25,21:29:20,20915,-33933,44,T,0.3434,1.0605,44.0N,54.8W,70,184,212,04m51s
02980,-744 December 20,15:38:37,20907,-33927,49,A,0.2595,0.9207,8.6S,32.2E,75,178,311,11m27s
02981,-743 June 15,14:27:14,20899,-33921,54,T,-0.4004,1.0792,0.7S,48.8E,66,359,279,07m28s
02982,-743 December 9,14:40:59,20891,-33915,59,A,0.9312,0.9166,46.6N,49.2E,21,183,881,09m04s
02983,-742 May 6,22:04:25,20885,-33910,26,P,1.4275,0.2104,70.4N,159.7E,0,44,,
02984,-742 June 5,06:45:52,20883,-33909,64,P,-1.1686,0.6919,68.0S,177.0E,0,347,,
02985,-742 October 30,04:22:22,20877,-33904,31,P,-1.2844,0.4742,70.8S,73.2E,0,127,,
02986,-741 April 26,05:35:33,20869,-33898,36,A,0.712,0.9634,53.5N,163.3E,44,153,188,03m16s
02987,-741 October 19,18:12:23,20861,-33892,41,T,-0.5676,1.0423,40.3S,21.3W,55,22,171,03m19s
02988,-740 April 14,06:52:52,20853,-33886,46,A,-0.0426,0.9455,4.1N,164.6E,88,343,201,07m04s
02989,-740 October 8,10:04:20,20845,-33880,51,T,0.1077,1.0432,2.8N,115.7E,84,198,145,04m01s
02990,-739 April 3,08:25:25,20837,-33874,56,A,-0.7897,0.9617,47.0S,162.7E,38,333,224,03m35s
02991,-739 September 27,23:17:35,20829,-33868,61,A,0.8331,0.9916,53.8N,57.9W,33,212,53,00m40s
02992,-738 February 22,06:22:32,20823,-33863,28,P,1.1738,0.6798,70.5N,126.6E,0,133,,
02993,-738 March 23,16:19:52,20821,-33862,66,P,-1.4834,0.1085,71.7S,120.6E,0,263,,
02994,-738 August 18,13:43:07,20815,-33857,33,P,-1.3171,0.4204,70.0S,23.8E,0,36,,
02995,-737 February 11,22:06:33,20807,-33851,38,T,0.4526,1.0587,10.0N,65.6W,63,169,216,05m27s
02996,-737 August 7,13:42:29,20799,-33845,43,A,-0.5939,0.9421,17.0S,56.4E,53,9,265,07m40s
02997,-736 February 1,13:52:44,20791,-33839,48,T,-0.2453,1.0339,33.5S,65.4E,76,350,118,03m01s
02998,-736 July 26,17:45:01,20783,-33833,53,A,0.1735,0.9899,31.6N,1.7E,80,185,36,01m04s
02999,-735 January 21,01:05:13,20775,-33827,58,As,-0.9961,0.9621,70.4S,60.2E,3,193,-,02m04s
03000,-735 July 16,05:10:58,20767,-33821,63,T,0.9082,1.0373,88.5N,145.4W,24,206,305,02m06s
03001,-735 December 11,09:58:17,20761,-33816,30,P,1.2915,0.4652,64.0N,147.3E,0,209,,
03002,-734 June 6,14:51:32,20753,-33810,35,T,-0.8975,1.0665,40.2S,59.8E,26,341,491,05m12s
03003,-734 November 30,09:37:18,20745,-33804,40,A,0.6024,0.9324,14.9N,131.2E,53,197,312,08m30s
03004,-733 May 27,06:09:39,20737,-33798,45,T,-0.1591,1.0352,11.0N,174.9E,81,341,120,03m26s
03005,-733 November 19,15:22:07,20729,-33792,50,A,-0.114,0.9871,24.2S,30.7E,83,22,46,01m16s
03006,-732 May 15,15:19:45,20721,-33786,55,A,0.6419,0.9761,52.4N,10.5E,50,143,110,01m59s
03007,-732 November 8,03:57:44,20713,-33780,60,T,-0.7831,1.0293,58.2S,166.0E,38,49,158,01m54s
03008,-731 April 5,02:25:46,20707,-33775,27,P,-1.4353,0.2191,60.7S,44.2W,0,276,,
03009,-731 May 4,17:41:04,20706,-33774,65,P,1.4323,0.2232,61.5N,116.7W,0,61,,
03010,-731 September 29,09:07:08,20699,-33769,32,P,1.2448,0.5479,60.7N,140.9W,0,271,,
03011,-731 October 28,19:38:52,20698,-33768,70,P,-1.4286,0.2025,61.3S,142.1W,0,113,,
03012,-730 March 25,05:17:53,20691,-33763,37,A,-0.6522,0.9753,36.2S,147.6W,49,323,114,02m13s
03013,-730 September 18,20:52:12,20683,-33757,42,A,0.5823,0.9821,35.5N,27.3W,54,216,77,01m34s
03014,-729 March 14,15:09:18,20675,-33751,47,T,0.1258,1.032,0.6N,38.6E,83,151,109,02m52s
03015,-729 September 8,01:33:43,20667,-33745,52,A,-0.1394,0.9409,2.1N,121.1W,82,27,221,06m47s
03016,-728 March 3,06:28:10,20659,-33739,57,T,0.8348,1.0566,39.9N,143.1E,33,144,331,04m07s
03017,-728 August 27,01:26:21,20652,-33733,62,A,-0.8612,0.9277,40.1S,144.2W,30,33,517,07m27s
03018,-727 January 22,12:34:44,20645,-33728,29,P,-1.1222,0.7714,63.3S,137.8W,0,216,,
03019,-727 July 17,15:40:03,20637,-33722,34,P,1.2069,0.6153,64.2N,178.6W,0,333,,
03020,-727 August 16,03:50:07,20636,-33721,72,Pb,-1.5437,0.0212,62.1S,153.6E,0,52,,
03021,-726 January 11,21:44:28,20629,-33716,39,A,-0.4504,0.9579,49.1S,48.9W,63,343,172,03m56s
03022,-726 July 7,04:56:39,20621,-33710,44,T,0.4113,1.0607,47.9N,163.9W,65,191,219,04m38s
03023,-726 December 31,23:33:25,20614,-33704,49,A,0.2491,0.9215,9.5S,87.6W,76,173,306,11m10s
03024,-725 June 26,21:55:33,20606,-33698,54,T,-0.3288,1.0777,4.6N,65.5W,71,3,266,07m18s
03025,-725 December 20,22:45:21,20598,-33692,59,A,0.9249,0.9194,44.5N,78.1W,22,177,812,08m54s
03026,-724 May 17,05:04:34,20591,-33687,26,Pe,1.5084,0.0628,69.5N,40.9E,0,32,,
03027,-724 June 15,13:57:48,20590,-33686,64,P,-1.0974,0.8255,67.0S,56.6E,0,358,,
03028,-724 November 9,13:00:39,20583,-33681,31,P,-1.282,0.4785,70.1S,70.7W,0,140,,
03029,-724 December 9,02:48:54,20582,-33680,69,Pb,1.5521,0.0055,67.5N,130.3W,0,187,,
03030,-723 May 6,12:10:17,20576,-33675,36,A,0.796,0.9606,64.2N,56.1E,37,149,236,03m12s
03031,-723 October 30,02:58:53,20568,-33669,41,T,-0.5722,1.0416,45.0S,154.2W,55,21,169,03m10s
03032,-722 April 25,13:19:51,20560,-33663,46,Am,0.0391,0.9475,12.6N,64.3E,88,165,193,06m45s
03033,-722 October 19,18:43:18,20552,-33657,51,T,0.098,1.0393,2.1S,16.1W,84,197,132,03m42s
03034,-721 April 14,15:15:24,20544,-33651,56,A,-0.7168,0.9681,37.4S,52.5E,44,338,163,03m15s
03035,-721 October 9,07:32:07,20536,-33645,61,A,0.8192,0.9863,48.5N,172.9E,35,208,84,01m09s
03036,-720 March 4,14:18:58,20530,-33640,28,P,1.2107,0.6114,71.1N,7.1W,0,119,,
03037,-720 April 2,23:44:08,20528,-33639,66,P,-1.4209,0.2216,71.7S,5.7W,0,277,,
03038,-720 August 28,20:50:35,20522,-33634,33,P,-1.3668,0.3368,70.7S,97.2W,0,49,,
03039,-719 February 22,06:19:28,20514,-33628,38,T,0.4868,1.0617,15.4N,167.9E,61,165,231,05m32s
03040,-719 August 17,20:43:10,20506,-33622,43,A,-0.6496,0.94,23.7S,53.1W,49,13,291,07m31s
03041,-718 February 11,22:07:07,20498,-33616,48,T,-0.2186,1.0345,28.8S,58.7W,77,347,119,03m08s
03042,-718 August 7,01:02:14,20491,-33610,53,A,0.1142,0.9906,25.8N,108.4W,83,189,33,01m01s
03043,-717 February 1,09:05:52,20483,-33604,58,A,-0.9766,0.9643,78.7S,95.2W,12,226,644,02m07s
03044,-717 July 27,12:45:12,20475,-33598,63,T,0.8458,1.0398,78.6N,96.3E,32,204,252,02m24s
03045,-717 December 22,17:55:38,20468,-33593,30,P,1.2993,0.4521,65.0N,16.9E,0,198,,
03046,-716 June 16,22:15:24,20460,-33587,35,T,-0.9722,1.0601,52.4S,52.2W,13,343,874,04m21s
03047,-716 December 10,17:48:27,20453,-33581,40,A,0.6048,0.9351,13.8N,5.5E,53,193,301,08m22s
03048,-715 June 6,13:15:20,20445,-33575,45,T,-0.238,1.031,8.5N,68.0E,76,345,108,03m10s
03049,-715 November 29,23:57:18,20437,-33569,50,A,-0.113,0.99,27.0S,98.2W,83,18,35,00m59s
03050,-714 May 26,21:56:48,20429,-33563,55,A,0.5594,0.9743,51.1N,83.4W,56,150,110,02m14s
03051,-714 November 19,12:48:45,20421,-33557,60,T,-0.7812,1.0304,62.6S,32.3E,38,48,164,01m56s
03052,-713 April 16,08:59:26,20415,-33552,27,Pe,-1.5091,0.0917,60.9S,152.5W,0,284,,
03053,-713 May 16,00:00:37,20413,-33551,65,P,1.347,0.3691,62.1N,138.3E,0,52,,
03054,-713 October 10,17:36:39,20407,-33546,32,P,1.2624,0.515,60.7N,81.8E,0,262,,
03055,-713 November 9,04:28:32,20406,-33545,70,P,-1.4268,0.2066,61.8S,75.4E,0,123,,
03056,-712 April 4,12:20:27,20399,-33540,37,A,-0.7163,0.9801,36.4S,106.8E,44,323,98,01m47s
03057,-712 September 29,04:54:14,20391,-33534,42,A,0.6068,0.9758,32.6N,149.3W,52,216,107,02m11s
03058,-711 March 24,22:45:09,20383,-33528,47,T,0.0695,1.0382,2.0N,76.1W,86,151,128,03m21s
03059,-711 September 18,09:03:14,20376,-33522,52,A,-0.1051,0.9363,0.3S,125.5E,84,29,238,07m15s
03060,-710 March 14,14:25:57,20368,-33516,57,T,0.7877,1.0617,39.1N,22.4E,38,142,321,04m26s
03061,-710 September 7,08:41:03,20360,-33510,62,A,-0.8164,0.9266,38.6S,105.5E,35,36,462,07m29s
03062,-709 February 2,20:51:57,20353,-33505,29,P,-1.1471,0.726,62.5S,87.4E,0,225,,
03063,-709 March 4,06:56:06,20352,-33504,67,Pb,1.5025,0.0612,61.3N,92.7E,0,110,,
03064,-709 July 28,22:58:08,20346,-33499,34,P,1.264,0.5116,63.4N,61.1E,0,324,,
03065,-709 August 27,11:16:26,20344,-33498,72,P,-1.493,0.1101,61.5S,31.9E,0,61,,
03066,-708 January 23,05:45:46,20338,-33493,39,A,-0.4695,0.9575,48.0S,166.2W,62,337,175,03m56s
03067,-708 July 17,12:28:51,20330,-33487,44,T,0.4756,1.0601,50.5N,86.9E,61,198,225,04m25s
03068,-707 January 11,07:22:27,20322,-33481,49,A,0.234,0.9229,9.8S,154.2E,77,169,299,10m42s
03069,-707 July 7,05:27:58,20314,-33475,54,T,-0.2608,1.0755,8.7N,179.9E,75,8,253,07m00s
03070,-707 December 31,06:44:38,20307,-33469,59,A,0.9136,0.923,42.2N,156.4E,24,171,718,08m34s
03071,-706 June 26,21:13:03,20299,-33463,64,P,-1.0292,0.9519,66.0S,64.1W,0,8,,
03072,-706 November 20,21:41:18,20292,-33458,31,P,-1.2789,0.4842,69.2S,145.4E,0,153,,
03073,-706 December 20,11:15:50,20291,-33457,69,P,1.5448,0.0165,66.4N,90.9E,0,175,,
03074,-705 May 17,18:41:36,20284,-33452,36,A,0.8817,0.9569,75.6N,59.6W,28,134,336,03m08s
03075,-705 November 10,11:48:56,20277,-33446,41,T,-0.5744,1.0413,49.4S,73.1E,55,19,169,03m04s
03076,-704 May 5,19:42:17,20269,-33440,46,A,0.1249,0.9491,21.1N,34.5W,83,166,188,06m23s
