Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
AvoidingThePuddle,309117315,80955,13108,3893,336181,67040,4202354,True,True,English
Ko0416,307823730,200625,5448,1515,108784,12127,11705657,True,True,Chinese
Dota2ruhub2,307331445,55230,54508,5158,248277,71813,13417924,True,False,Russian
Slushpuppy,307001595,150525,118125,1560,122486,85852,5065635,True,False,English
itmeJP,306920835,145950,24603,2079,369273,6134,10677522,True,False,English
JesusAVGN,306076605,78315,43859,3838,682899,181914,13548535,True,False,Russian
tarzaned,306010080,72390,14602,4159,388878,172683,7744943,True,True,English
Mickalow,305967975,157260,37872,1830,864324,260914,8191116,True,False,French
UNLOSTV,304599090,19995,128345,12171,1585519,571237,11452750,True,False,Turkish
resttpowered,304222200,148335,9248,2072,252184,37681,8585834,True,False,Slovak
Felps,303435945,96930,15553,3109,844681,284169,6099521,True,False,Portuguese
Doublelift,301917225,20370,52584,13364,1389835,166536,7617972,True,False,English
쉐리 (kss7749),301790445,115380,12295,2403,170718,19597,7546887,True,False,Korean
Kiwo,299469345,234330,10836,1243,296481,38195,4900030,True,True,English
adolfz,299235990,62520,15928,4926,294217,154653,2743587,True,True,Portuguese
LigaPro1,298828170,232620,11533,1149,30986,29434,60922719,False,False,Other
knekro,298811910,102210,13731,2912,260728,97206,10900480,True,False,Spanish
Savjz,298693050,86205,12708,3401,542892,13967,4072337,True,False,English
BobbyPoffGaming,298668465,224295,6453,1254,125803,81131,2208405,True,False,English
The_Happy_Hob,295999245,106125,8560,2834,216106,38712,4158704,True,True,English
Smurfdomuca,294868035,107055,18282,2843,267948,251923,5976634,True,False,Portuguese
Timmac,294663825,191970,13500,1460,393639,32867,4232938,True,False,English
Nikolarn,293952480,129510,30044,2279,526389,214216,3964166,True,False,English
소우릎 (so_urf),293688270,167895,9665,1756,95477,44040,8120712,True,False,Korean
RiffTrax,293583075,521445,24765,562,79099,17200,3313465,True,False,English
pimpimenta,293014110,164940,20855,1744,828298,254312,12258152,True,False,Portuguese
FACEIT TV (faceittv),292881510,35910,145470,9722,1681615,23166,17259602,True,False,English
crokeyz,292698660,163095,5916,1796,68907,36715,3476636,True,False,English
Letshe,291144945,80745,28808,3073,884661,687813,11561585,True,False,English
SaltyBet,290991045,508140,3467,571,224099,69465,4509671,True,False,English
소니쇼 (sonycast_),290499225,100605,7998,2840,255949,54706,10802748,True,False,Korean
HGmony,290461620,111360,21999,2465,34358,32326,90310969,False,False,Russian
jakenbakeLIVE,289531305,120435,23432,2375,489623,116554,7920696,True,False,English
Syndicate,289369785,58695,22845,4281,3000509,282047,13227099,True,False,English
RakanooLive,289110855,104535,22607,2726,1234662,471456,3836302,True,False,Arabic
공혁준 (rhdgurwns),289103100,76590,40001,3828,289455,67061,12487303,True,False,Korean
limit_maximum,288857850,85905,124818,1886,162040,70116,5965543,True,True,English
ElRichMC,288441015,31155,95938,9062,688715,431071,8120275,True,False,Spanish
guit88man,287764245,140685,7681,1989,144898,25130,8666012,True,True,Russian
RaizQT,286839210,121965,15185,2164,167584,31194,5190502,True,False,English
ReventXz,286819950,84330,47282,3073,362062,219868,8050871,True,False,Spanish
PatoPapao,286740930,100470,11694,2795,656860,116753,8955254,True,False,Portuguese
Replays,285932205,140220,16193,1983,871405,449727,5185473,True,False,English
cdewx,284645955,139140,23448,1904,380159,50596,8015709,True,False,English
亞洲統神 (asiagodtonegg3be0),284354865,63645,18594,4426,494643,22853,11106574,True,False,Chinese
BotezLive,283479405,115845,36278,1985,330772,280964,12851602,True,False,English
Conterstine,283398825,92805,18090,2557,386804,375789,5308302,True,False,Spanish
BeyondTheSummit_PT,282753480,339000,49496,807,203549,60955,9694977,True,False,Portuguese
AlphaCast,281533785,84165,28898,3046,411993,152951,8864009,True,True,French
DownToQuest,281365035,513540,20723,543,82299,53724,3524088,True,True,English
똘똘똘이_ (jungtaejune),280810635,165945,6787,1649,124835,15713,8660860,True,False,Korean
PENTA,280798065,116745,7172,2322,152821,40474,2786097,True,True,English
thedarkness,280707810,155595,7440,1914,536792,138160,7628946,True,False,Portuguese
uhSnow,280296045,88500,8375,3150,134611,43869,3334788,True,True,English
JERICHO,280176915,112860,21935,2401,1191987,66665,7582522,True,False,English
T90Official,279691620,76395,51422,3379,160226,69044,6886631,True,False,English
DanucD,278223765,135030,4439,2045,546052,223147,12048648,True,False,English
DisguisedToast,277695945,20325,38169,9892,1340283,192604,5928269,False,False,English
DesertHeartsRecords,276313155,64620,24264,3620,85097,84304,58418224,False,False,English
Jankos,274889760,45045,18826,5858,573657,271355,9284513,True,False,English
GarenaTW,273964050,12435,85416,22130,401222,21388,7818029,True,False,Chinese
개복어 (dogswellfish),273920670,161235,10929,1601,215413,37690,10626908,True,False,Korean
Sykkuno,272813670,91035,29658,2530,334591,305734,5285377,True,False,English
JokerdTV,271815660,120165,319862,2013,159384,157656,9070954,True,True,English
A1taOda,269877405,140625,11974,1844,537519,67361,10306828,True,False,Russian
livekiss,269518965,517260,7435,520,31323,2447,1641644,True,False,Chinese
Jerma985,269372580,57495,15921,4773,334594,92752,3411872,True,True,English
KamoLRF,269229795,66330,19264,3948,688868,184854,5731570,True,False,German
GoldGlove,268632360,119895,22448,2196,1433703,23684,16902968,True,False,English
harbleu,266439435,65775,13230,3926,349467,112349,3527460,True,False,English
runthefutmarket,265426125,84945,20746,2999,292812,146753,4266359,True,False,English
웁_게임방송 (alenenwooptv),265229580,189900,4290,1418,125615,22295,5390604,True,False,Korean
KarmikKoala,262630950,120450,10587,2205,151920,71165,8619663,True,False,Russian
JustCooman,262612740,76035,10776,3287,159117,89413,7809170,True,False,Russian
IamCristinini,262492530,135240,7943,1906,398634,218848,12690137,True,False,Spanish
Xop0,262276575,235920,4074,1110,94751,50725,18709302,False,False,Russian
Warframe,262160025,13740,346131,12843,1254031,282680,5405191,True,False,English
Smoke,261617925,100050,25500,2331,166007,53212,2955403,True,False,English
Moondye7,261610875,97350,22231,2530,306920,39732,6839587,True,False,German
jean_mago,261252810,113445,11418,2012,342691,269837,7609872,True,False,Portuguese
mL7support,260845395,115380,9038,2124,342850,140872,5387428,True,False,English
KriszhAdvice,258011790,147675,28709,1593,284899,97984,6927865,True,False,Hungarian
QuickyBaby,255820995,118710,11077,2207,416329,45998,5642381,True,False,English
aDrive,255087615,101085,14637,1692,461081,117274,3858228,True,False,English
Ampeterby7,254852265,27480,43882,9301,1194476,1185647,6513197,False,False,Spanish
KabajiOW,254772135,72240,13865,3252,369667,87338,4098475,True,True,English
SNEUX,254717640,57510,30067,3748,196635,155555,4540889,True,False,Spanish
TrU3Ta1ent,254345355,113745,10901,2204,595939,101235,6614948,True,False,English
OgamingSC2,253498875,484455,11457,547,105368,11075,15776556,True,False,French
머독 (ajehr),252452325,76575,11117,3292,362794,86655,5623906,True,False,Korean
cyr,252345645,146190,19267,1678,182107,49771,4106827,True,True,English
MrSavage,251627985,33030,31525,6883,1651212,734583,9931629,True,False,English
Perxitaa,251497200,30330,55418,8010,689582,669977,7036771,True,False,Spanish
IlloJuan,251067885,60495,24315,4087,275174,178705,5676686,True,False,Spanish
masondota2,250624350,83205,8377,2882,104526,39906,3406472,True,False,English
Annoying,250297065,64290,17361,3884,431285,158587,1799471,True,False,English
고차비 (kumikomii),249821475,152370,5227,1615,177741,62122,5979126,True,False,Korean
Manyrin,249488880,109125,17140,2284,449520,146381,11128490,True,False,Russian
1DrakoNz,249476295,99180,15242,2655,373375,252999,6950267,True,True,Portuguese
Pace22,247862850,156975,10350,1524,171871,112723,3080537,True,True,English
Rammus53,247730100,104520,16370,2217,978645,332303,11041262,True,True,Turkish
SaltyTeemo,247613265,517980,1803,476,173196,36103,2117741,False,False,English
Odablock,247535550,101595,29397,2336,131966,92477,4228405,True,False,English
MckyTV,247481385,65025,49791,3599,722041,256660,9947455,True,False,German
Calebhart42,246974370,124830,6763,1808,177595,13410,2533119,True,False,English
MacieJay,246761880,107805,7318,2249,835787,195140,5353692,True,False,English
R6esportsBR,246712590,47100,60386,4021,323856,98848,5855733,True,False,Portuguese
chistor_,246342825,128430,7099,1838,89608,30354,5658271,True,False,Russian
Kephrii,245934495,165135,8709,1297,559647,102990,5923710,True,False,English
FEDMYSTER,245399790,24945,35011,9086,609723,284967,5176805,True,False,English
Gosu,244854375,64590,16362,3502,1751290,185952,9377658,True,False,English
supertf,244635645,90585,9118,2526,196136,139939,3551440,True,False,English
MoMaN,244502235,145755,16550,1363,360418,120693,8390437,True,True,French
Kotton,244412715,73005,58818,2757,253065,80920,4459178,True,True,English
saintvicious,244262295,168030,5370,1422,247236,44436,3133396,True,False,English
winstrike_tv,243711495,19695,153252,12058,148183,148055,8767404,True,False,Russian
pijack11,243578730,148140,8181,1569,252717,144993,6752832,True,True,Portuguese
pqueen,243465255,88965,11976,2602,485787,328149,8544093,True,False,Turkish
Northernlion,242833140,60855,9312,3968,359260,22629,3384340,True,False,English
Nattank,241616550,144480,8770,1537,86544,67207,8232442,True,True,Portuguese
bmkibler,241615470,103230,15034,2247,475075,23971,5087052,True,False,English
Arteezy,240834885,12285,31009,19681,634982,99726,3776042,True,True,English
선바 (sunbaking),240663180,86235,8260,2762,251416,98720,3298202,True,False,Korean
flamuu,239018790,126915,5242,1851,117425,36301,3225407,True,True,English
Mixwell,238993935,52905,23552,4219,331208,271798,6539837,True,False,Spanish
AntoineDanielLive,238217145,54870,16671,3964,416920,272263,6778234,True,False,French
G4G_REVENANT,237767160,82110,14376,2947,284620,69353,6608568,True,False,Spanish
maxim,236707830,71685,21262,3173,312566,129119,5439874,True,True,German
양띵 (yd0821),236218920,28275,38412,8075,279864,56233,1901665,True,False,Korean
c9judite,235689105,364425,8210,644,105341,84754,7982996,True,False,Portuguese
WOKE,235303170,51600,50598,3827,107484,105725,3460437,True,True,English
Amaz,235255500,84525,12652,2764,915023,-5405,4237993,True,False,English
ESL_SC2,234726075,278745,40072,1414,305311,36130,5674624,True,False,English
CooLifeGame,234307740,47010,15459,4415,395859,167356,5764214,True,False,Spanish
BruceGrannec,234104805,78270,11287,3011,463188,95268,5973378,True,False,French
CuteDog_,234058290,207090,7016,1104,113658,22074,3489772,True,True,English
大丸 (wtf_winds123),233395950,92775,11975,2410,259338,32952,9883708,True,False,Chinese
theRealShooKon3,233210205,166260,6148,1333,126282,37207,2944974,True,True,English
Albralelie,232815960,128580,18730,1668,240030,216977,5392597,True,False,English
룩삼 (looksam),232224165,75030,32222,3302,285474,14351,7901792,True,False,Korean
GTimeTV,232140015,187335,14110,1022,665021,155419,5838039,True,True,German
WagamamaTV,231985905,178470,7377,1268,312799,20933,3880798,True,False,English
sleepy,231452460,107280,8855,2103,317125,254462,3295029,True,False,English
FifaTargrean,231025755,170820,6721,1353,396862,66121,7798628,True,False,Thai
GrandPOObear,231011760,101175,13295,2230,253619,44926,3877237,True,True,English
Pun1shers_TV,230552955,123345,6289,1961,82289,51159,4148542,True,False,Greek
gamelifeow,229805670,99600,37939,1659,234471,169229,8373012,True,False,Russian
Sh4dowehhh,229762950,112875,11788,2012,84234,70619,6477747,True,False,Russian
LuluLuvely,229749045,107070,10110,2178,431852,360592,6019198,True,False,English
Swifty,229431480,122160,19884,1572,615027,71011,8647522,True,False,English
Mibrtv,228640020,82620,151094,3310,250709,242229,6671227,True,False,Portuguese
PsheroTV,228376905,184215,10739,1166,202779,59927,5384623,True,True,English
bytarifaaa,228077640,15390,121009,13435,638657,629175,3651549,True,False,Spanish
Alderiate,227675805,69030,11480,3337,319860,80730,5471250,True,False,French
Solaaaa,227479455,96375,16718,2227,309594,107558,5135340,True,False,German
Strippin,227458650,121575,9127,1816,293665,19904,3115313,True,False,English
Mendo,226473345,99480,25321,1959,518090,176007,5487693,True,True,English
Pikabooirl,225939795,103740,21309,2146,237214,78399,5574448,True,False,English
Skadoodle,225401640,89955,30357,2318,611890,219104,5373229,True,True,English
MasterSnakou,225243465,124275,12948,1786,448316,73137,6565757,True,False,French
루시아 (lucia94),224762820,141705,8886,1603,82578,37026,5801449,True,False,Korean
Otzdarva,222546390,91905,14940,2387,262104,146762,3176930,True,False,English
꽃핀 (cherrypach),222377040,94125,10985,2369,240835,90457,6606649,True,False,Korean
Opat04,222161730,116775,9497,1814,178477,109720,6632006,True,False,Czech
icebergdoto,221837100,52380,16441,3746,171113,84551,6944929,True,False,Russian
P4wnyhof,221823735,181830,7196,1205,489174,6719,6891131,True,False,German
Mazarin1k,220905615,202410,9605,780,205378,68292,9980766,True,False,Czech
김뚜띠_ (kimdduddi),219998175,90750,7244,2318,149158,67954,3549865,True,False,Korean
옥냥이 (rooftopcat99),218888325,92805,8794,2256,214028,59213,5969221,True,False,Korean
KingGothalion,218707740,34875,41994,5792,1015521,44907,3349456,True,False,English
ItsSlikeR,218576850,95655,12762,2317,283503,154360,5243404,True,True,English
Alinity,218509065,90150,17341,2441,1203324,255987,13908506,True,False,English
TidesofTime,218415420,88485,12457,2104,251700,27110,2240586,True,False,English
GernaderJake,218318010,146295,21162,1347,295771,70693,8847646,True,False,English
スタンミ (sutanmi),217833015,80190,7854,2683,53124,16505,3473483,True,False,Japanese
DarioMocciaTwitch,217475940,103995,8160,1749,114376,96707,4356099,True,False,Italian
bebe872,217343400,212205,4965,1087,70232,51251,2383295,True,False,English
Lasqa,216969405,72210,10010,2863,135446,25351,5298356,True,True,Russian
六希夫 (qttsix),216951540,154035,9671,1412,118305,23620,8174656,True,False,Chinese
Flight23white,216792240,31455,74388,7522,828896,704583,2016920,True,False,English
Heelmike,216316170,101400,18963,2115,308927,208795,3406743,True,True,English
OGADotaPIT,216072855,18705,60846,10161,157820,48664,8333671,True,False,English
SoloRenektonOnly,215806260,122985,5118,1735,391603,74554,4581141,True,False,English
OfficialAndyPyro,215726910,209625,9676,1027,255595,29422,10284627,True,True,Finnish
k3soju,215233395,125865,7504,1647,76666,70939,2609837,True,False,English
SkyrrozTV,215122605,85890,17061,2185,597890,216436,6233611,True,False,French
LeBouseuh,214699305,61455,24497,3678,988237,351530,4545514,True,False,French
BikeMan,214504440,136845,7223,1486,264192,11101,3531376,True,True,English
Rubini,214130175,161985,5521,1284,102528,43426,7976244,True,True,Portuguese
JLWaliid,213819030,94875,19603,2239,272391,246417,4345817,True,False,French
qSnake,212541900,152955,5441,1389,200878,37641,6296155,True,False,Russian
Criken,212449905,113040,11050,1828,285509,32753,3593487,True,True,English
Loserfruit,212318190,99525,42374,1816,1869993,790345,10477877,True,False,English
Broxah,212141310,46605,13137,4269,317896,209200,5351294,True,False,English
JonVlogs,212114490,81180,21617,2239,480299,261559,3260166,True,False,Portuguese
ImSoFresh,211617645,180060,5788,1119,111954,36095,3673955,True,False,French
BeBePtv,211307910,110010,14353,1865,57205,24674,63847323,True,False,Russian
TrilluXe,210899220,79170,27943,2095,412495,95629,7212835,True,False,German
landonorris,209499930,30120,97550,6524,584831,457635,12694726,True,False,English
LotharHS,208564530,152235,14561,898,251812,136198,6742783,True,False,Polish
ElcanaldeJoaco,208060515,20445,48072,8673,810622,758797,4893535,True,True,Spanish
CzechCloud,207938580,145050,8212,978,180668,111145,9000160,True,False,Czech
chess24,207560115,82035,32856,1603,66198,49745,20337169,True,False,English
TheNo1Alex,206694345,176910,8554,1105,140855,30883,7225371,True,False,English
Crystal_LoL,206487075,139725,7471,1466,167132,98846,5571500,True,False,Turkish
WeAreTheVR,206446935,75975,20851,2688,410814,85526,9512134,True,True,Hungarian
AdzTV,206255820,137250,11247,1443,489577,167548,4236933,True,False,French
IrmanPlay,205792560,42570,17697,2612,252042,232876,3312084,False,False,Russian
Tomato,205792050,76080,5358,2675,92634,36010,2200922,True,True,English
쫀득이_ (pjs9073),205748130,79215,15654,2597,193757,115990,5979215,True,False,Korean
runitup247,205746015,486000,1182,422,91608,30397,2424188,True,False,English
NeZaK_,205442370,134205,7262,1407,255840,207722,3017013,True,False,Italian
피닉스박1 (xkwhd),205225605,179595,9938,1139,142209,50675,4794915,True,False,Korean
skill4ltu,205017270,135510,4049,1503,127741,46398,4548052,True,True,English
ilMasseo,204889125,92370,8980,2184,617665,436741,4364008,True,False,Italian
Worrun_,204440715,94455,41881,1728,146163,103762,3425022,True,True,English
brax,204330900,26010,28736,5295,574927,282648,4449212,True,False,English
rewinside,204116820,48420,24167,4455,1259972,372220,5349508,True,False,German
금사향 (sah_yang),204029970,125325,7143,1559,206794,108366,7584329,True,False,Korean
HAchubby,203908095,73110,13675,2779,221461,159519,5075885,True,False,English
Recrent,203854050,129375,6781,1502,220789,120204,8936320,True,False,Russian
iLame,203117655,161025,4911,1243,233263,66490,9831952,True,True,Russian
ixxYjYxxi,203102445,37305,15223,5459,857099,409932,2378245,True,False,Arabic
Wingsofdeath,202858185,144150,7176,1343,473157,6267,2534023,True,False,English
mang0,202842615,140325,24391,1403,328671,53694,3077795,True,True,English
Kamikatze,202635300,126900,8509,1586,107476,36955,4997073,True,False,German
Philza,202591425,62925,24611,2991,527540,292543,5158370,True,False,English
Kurumx,202487955,131190,16413,1543,50286,49439,2485867,True,False,English
Pieface23,201823125,93360,14072,2149,238155,127444,2037389,True,False,English
CurtisRyan,201233880,162660,7245,1205,65688,33141,3760730,True,True,English
CalebDMTG,200582400,121635,5446,1608,71327,9005,1563033,True,False,English
MarkiLokurasY,200552295,71070,26329,2714,923377,417223,7000112,True,False,Spanish
JLBichouu,200256675,90720,16461,2039,212578,150452,4001304,True,False,French
나나양 (nanayango3o),199960005,122025,6411,1589,147351,63332,4789098,True,False,Korean
DavyJones,199829100,48375,44526,4111,955846,454965,10940319,True,False,Portuguese
Fairlight_Excalibur,199826220,163650,19156,1208,408958,5162,1645770,True,False,English
PG_Esports,199821495,107715,24734,1933,112874,41935,16923320,True,False,Italian
StreamerHouse,199501650,496545,12609,402,630255,10659,2800864,True,False,English
Peereira7,198252765,133800,14532,1377,377689,361206,6222094,True,True,Spanish
Twitch,198083340,12015,130795,9190,1189614,223168,46395022,True,False,English
Sev7n,197315655,183630,31836,1037,469944,225963,7453572,True,False,Portuguese
Wardiii,196743645,104280,9459,1670,76777,31905,3970743,True,False,English
자동 (tranth),196585155,142260,5451,1402,85764,11733,5114165,True,False,Korean
Kubon_,195943620,145845,9545,1323,267984,25721,6142647,True,False,Polish
KarasMai,195800370,138300,6728,1374,281664,139915,3975842,True,False,English
Sloot,195525465,207555,21283,937,205002,23506,4415937,True,False,English
LPMassive,195448335,81270,18813,2181,315264,22874,2409670,True,False,German
羅傑 (roger9527),195398655,34620,12707,5401,131484,22369,4197860,True,False,Chinese
ChicaLive,195344370,92445,14928,2045,1041932,631422,2776587,True,False,English
도현_ (d_obby),195270330,129525,16860,1401,195405,153300,5913454,True,False,Korean
Valkia,194961090,106335,23519,1008,308459,146451,8091070,True,False,English
caps,194376465,17865,26754,10170,479368,270611,6373471,True,False,English
龜狗 (gueigotv),194262165,134895,9918,1373,165232,25466,6005834,True,True,Chinese
Alfie,194074230,181755,15588,971,183885,33462,3380440,True,False,English
NiceWigg,193912155,130140,13013,1475,184033,111498,2871081,True,False,English
zEkO,193867860,44970,21313,4440,743040,370683,5338943,True,True,Spanish
x6FlipiN,193573740,61095,19304,2712,279204,186655,6462906,True,True,Spanish
JASONR,193460805,188205,33902,992,777611,136800,6183865,True,False,English
Dhalucard,192609885,83400,22306,1828,269408,97678,7444967,True,False,German
duckmanzch,192428310,129945,14684,1363,122694,75228,9240202,True,False,Thai
MrBboy45,191523465,110835,9408,1659,318995,57504,6445684,True,False,French
인간젤리 (ses836),190448565,157200,7683,1213,105730,29332,5099767,True,False,Korean
AladdinTV,189890160,131490,4279,1416,110211,45168,4298260,True,False,German
miniminter,189756300,41400,27188,4215,858427,588461,16598800,True,False,English
ClintStevens,189206565,40125,15223,4445,393432,102753,2303521,True,False,English
NoctisAK47,189081300,171270,7264,1052,73584,41176,6381664,True,True,Thai
Daxak,188764350,84855,7721,2061,116897,64239,5857325,True,False,Russian
ThaldrinLol,188750280,112095,11305,1671,521166,95126,7822019,True,False,Turkish
olyashaa,187722975,77730,9142,2296,559877,138621,14210392,True,False,Russian
Jay3,187658970,165585,9514,1111,189654,124100,3079327,True,False,English
SovietWomble,187497450,63360,9616,2900,1368076,214775,5846971,True,True,English
GodHunt,187099860,94590,19032,1820,202883,30738,7464390,True,False,Russian
Everyeyeit,187019640,133125,18421,1236,86590,42213,52155951,True,False,Italian
Speedrun,186800430,500010,16604,375,93358,51098,13863239,True,False,English
iamSometimes,186597300,102870,23238,2004,179552,99162,4766495,True,False,Thai
Broeki1,186562710,141675,13091,1317,150944,25995,4702541,True,True,German
hexy,186060390,90495,14020,2092,336093,20006,2855592,True,False,English
Etoiles,185982570,78165,45364,2090,220873,167386,6466352,True,False,French
xChocoBars,185905980,96300,37216,1917,583881,107350,8679867,True,False,English
GN_GG,185795730,108075,4859,1715,91514,14734,3333965,True,False,Russian
SheriffEli,185394810,143400,5988,1291,265814,11832,2355559,True,True,English
iateyourpie,184820460,181335,10962,987,124020,7942,4878552,True,False,English
KYR_SP33DY,184233300,95055,6607,1879,706212,66637,2451110,True,False,English
armateam,183066645,379680,3181,479,187315,8680,3569807,True,False,French
JeelTV,182390235,99870,7302,1768,357385,276765,6668409,True,False,French
Pengu,182358345,70665,7707,2452,775987,241309,5240516,True,True,English
태준이 (dlxowns45),182309400,79620,10549,2023,346631,124060,5444952,True,False,Korean
gabepeixe,181929585,101730,5955,1788,149362,25034,2795325,True,True,Portuguese
TSM_TheOddOne,181908120,188445,4363,913,864087,-15772,6370949,True,False,English
luke4316live,181729410,307005,2757,636,168531,36988,4795414,True,False,Italian
VGBootCamp,181431360,77085,97791,1534,521938,24798,5491154,True,False,English
CapcomFighters,181252125,23850,84858,5684,348447,20205,12878708,True,False,English
Datto,181075290,71400,82047,2122,530822,89739,4566171,True,True,English
NeverSayYesTwitch,180978855,115455,10771,1357,194933,176218,3381154,True,False,French
BeatportOfficial,180850230,27765,48457,5300,126546,124653,36484452,True,False,English
포셔 (portialyn),180674100,128385,4498,1349,39485,29698,2460689,True,False,Korean
케인 (kanetv8),180360300,130365,10087,1313,141167,52606,7004305,True,False,Korean
Sanchovies,180166830,141225,15588,1250,154845,145102,3924344,True,False,English
GhostFreak66,179939730,107295,94791,1029,111646,89879,2471382,True,True,English
RTAinJapan,179880525,16155,42822,8383,71730,44766,2700751,True,False,Japanese
WankilStudio,179581950,17235,28866,10173,726730,274734,5141210,True,False,French
SLAKUN10,179262330,9555,48358,18906,1874932,1874846,5835029,True,False,Spanish
Monkeynews,179083095,154965,72483,1288,80290,54112,4978021,True,True,English
forever,178945815,29625,53702,5300,373484,360874,2863254,True,False,Portuguese
AlpTV,178729455,38625,33059,2913,576276,257474,6685553,True,False,Turkish
Crocodyle_lol,178727670,96000,8810,1802,107835,77142,3657348,True,True,French
WARDELL,178718460,127155,16215,1394,306435,288200,5304936,True,True,English
Tiagovski555YT,178563045,76065,11245,2061,220585,130719,5057048,True,False,Portuguese
Altair,178537155,145605,3702,1183,42265,19448,2779740,True,True,French
NiteNightKid,178419030,149040,29228,1127,28818,11998,1450208,True,True,English
fuslie,178245645,67560,45247,2504,336394,116757,7152158,True,False,English
Tyceno,177947595,42825,40407,4015,297359,250536,1623230,True,True,English
Faux,177800325,151170,15167,1133,237909,29301,3248586,True,False,English
RiotGamesTurkish,177746055,23835,36258,7414,651994,49244,9998277,True,False,Turkish
makataO,177510525,182775,12292,910,391656,137135,7336811,True,False,Russian
Drjayfisto,177159195,155340,4092,1105,130341,41353,6201998,True,True,English
CarTmaNzbs,176608230,96615,7809,1793,386948,65268,13183429,True,False,Russian
Th3Antonio,176072760,62175,13955,2419,223756,87872,5222867,True,False,Spanish
BigEx,176005440,96870,21401,1569,256448,138235,1947938,True,False,English
BigSpinCR,175255470,92970,21815,1824,185784,81726,2995202,True,False,German
Maghla,175236000,77505,16695,2124,329065,234216,6831650,True,True,French
Becca,174842160,115200,11405,1500,357844,56356,4198030,True,False,English
SirhcEz,174824130,133410,5928,1279,579629,34334,3081725,True,False,English
twlevewinsHS,174228915,102900,5425,1711,38410,31257,1353428,True,False,English
코렛트 (collet11),174087030,136065,6144,1248,215304,73181,5543661,True,False,Korean
Zombie_Barricades,173823135,228765,4497,735,172386,60031,2219053,True,True,English
NBA2KLeague,173779995,28245,48495,4264,143535,42942,67586924,True,False,English
XBOCT,173672880,35970,20110,4473,318230,78529,5635774,True,False,Russian
shtan_udachi,173627565,87210,7220,1929,100852,22524,3970603,True,False,Russian
orslok,173607810,52005,21759,3082,327888,269085,5048873,True,False,Spanish
BRNWOWZK1,173484990,365670,6981,465,173713,87295,5330221,True,True,Portuguese
HellYeahPlay,173443275,103830,3946,1706,136885,31088,5014047,True,False,Russian
홍방장 (game2eye),173015430,96045,5698,1669,183891,22221,5266599,True,False,Korean
grafo,172499415,111105,7165,1544,414577,173024,5627155,True,False,Spanish
xTheSolutionTV,172316145,78030,16093,2027,320629,103800,2778565,True,False,German
Igromania,172086390,186960,6159,939,184078,13710,115312954,True,False,Russian
Back2Warcraft,171822405,93345,8309,1697,94929,21267,4016790,True,False,German
超負荷 (sam1268),171602475,35805,11861,4538,148702,20433,5691145,True,True,Chinese
10000DAYS,171293220,131565,11193,1255,356683,158473,10528149,True,False,Turkish
iProMx,171223080,36000,8874,4576,151788,80190,1637792,True,False,French
짬타수아 (zzamtiger0310),171115545,90345,6217,1876,185684,46791,6693148,True,False,Korean
GingiTV,171013470,89805,6450,1713,156597,45047,5117439,True,False,English
venruki,170464680,133110,13179,1264,292558,44449,7127552,True,False,English
Pimpeano,170116395,21420,38592,6469,740343,665323,3744461,True,True,Spanish
MatteoHS,169885590,141525,5827,1176,428553,221153,4537952,True,False,Italian
nugiyen,169858440,159135,8448,996,121984,22377,3448935,True,False,English
HighDistortion,169501845,105630,20179,1397,1677690,61126,5125402,True,False,English
LuquEt4,169456620,153855,4958,1081,74404,45202,2807619,True,True,Portuguese
THump,169365870,92055,8063,1885,250786,115028,2168664,True,True,English
MaTaFe_,169215480,153525,8535,1096,116653,106957,4182011,True,True,English
rxnexus,169026750,112095,6765,1475,255944,23213,5862326,True,False,Russian
VaporaDark,168943005,70650,5041,2338,101359,22193,7610128,True,False,English
PaymoneyWubby,168861240,30600,16622,5485,302419,126399,2668187,True,False,English
RTGameCrowd,168832200,38685,20354,4259,861594,308499,3736356,True,False,English
다주 (dda_ju),168767490,108690,9137,1466,205041,52071,3755880,True,False,Korean
Bawkbasoup,168736395,130215,7853,1259,94820,27795,2313340,True,True,English
견자희 (wkgml),168416325,76140,10656,2210,415795,150813,6013389,True,False,Korean
Werlyb,168339975,57105,37980,2399,204348,146852,5349362,True,False,Spanish
TSM_Hamlinz,167898480,11055,51989,15483,2137521,126150,2268382,True,False,English
DougisRaw,167875230,153960,22641,1076,127151,74509,2149900,True,True,English
Mmorpg,167774640,182925,4994,908,235167,19566,3055373,True,False,English
BreaK,167534355,115560,9531,1432,309300,18289,3880016,True,True,English
berkriptepe,167325930,32790,24573,4103,622358,281667,5508199,True,False,Turkish
Xposed,167309220,111240,8580,1475,266853,147449,2220313,True,True,English
무굴 (moogrr1211),167186250,188805,2008,879,37162,10214,3006979,True,False,Korean
BoarControlHS,166892040,153345,3622,1064,79204,39363,2852825,True,False,English
Dementardo,166850715,35445,15476,4663,547154,465321,2419659,True,False,Spanish
CrReaM,166587645,142350,8098,1150,165906,6207,1614843,True,True,English
Xiuder_,166422960,172080,13675,909,312280,298759,3022408,True,False,Italian
SmallAnt,166352115,96720,11518,1821,255156,218287,2695198,True,False,English
Naowh,165590085,120435,11693,1333,103636,48833,5069397,True,False,English
Tonton,165536760,133530,9738,1237,147542,76656,3954958,True,False,French
